codigo,grado,campo,institucion,pais,año
JRH0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2008
JRH0,Maestría,Ingeniería en Electrónica con énfasis en microsistemas,Instituto Tecnológico de Costa Rica,Costa Rica,2016
JRH0,Doctorado,Ciencia aplicada a la integración de sistemas,Instituto Tecnológico de Kyushu,Japón,2020
JRH0,Especialización,Ciencia de los datos,Instituto Tecnológico de Costa Rica,Costa Rica,2023
HEV0,Bachillerato,Ingeniería en Computación,Instituto Tecnológico de Costa Rica,Costa Rica,2008
HEV0,Maestría,Ciencias de la Computación con énfasis en Telemática,Instituto Tecnológico de Costa Rica,Costa Rica,2012
HEV0,Maestría,Ciencias de la Computación con énfasis en Ciberseguridad,"Instituto Kerckhoffs - Universidades de Twente, Eindhoven y Nijmegen",Holanda,2016
HEV0,Doctorado,Ciberseguridad,Universidad de Twente,Holanda,2022
AGZ0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2001
AGZ0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2002
LCR0,Técnico,Mecánica de precisión,COVAO,Costa Rica,2010
LCR0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2016
LCR0,Maestría,Ingeniería Mecanica,Universidad de Utah,Estados Unidos,2022
CVS0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2008
CVS0,Maestría,Ingeniería en Microsistemas Electromecánicos,Albert Ludwing University Freiburg,Alemania,2013
CVS0,Doctorado,Ingeniería de Superficies,Universidad de Sídney,Australia,2022
NUS0,Bachillerato,Ingeniería de los Materiales,Instituto Tecnológico de Costa Rica,Costa Rica,2009
NUS0,Licenciatura,Ingeniería de los Materiales,Instituto Tecnológico de Costa Rica,Costa Rica,2011
NUS0,Maestría,Ingeniería Mecánica,RWTH Aachen University,Alemania,2022
JGF0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2008
JGF0,Maestría,Ingeniería en Ciencias en Mecatrónica,University of Applied Sciences,Alemania,2015
JGF0,Doctorado,Sistemas de control,Universidad de Sherffield,Inglaterra,2023
HJQ0,Bachillerato,Ingeniería en Electromecánica,Universidad Fidelitas,Costa Rica,2017
HJQ0,Licenciatura,Ingeniería Mecánica,Universidad de Costa Rica,Costa Rica,1991
HJQ0,Maestría,Ingeniería Mecánica,Universidad de Costa Rica,Costa Rica,2003
HJQ0,Maestría,Ingeniería de Protección Contra Incendios,UNED,España,2019
COZ0,Bachillerato,Ingeniería Mecánica,Universidad de Costa Rica,Costa Rica,2005
COZ0,Maestría,Sistemas Modernos de Manufactura,Instituto Tecnológico de Costa Rica,Costa Rica,2013
VJH0,Bachillerato,Ingeniería Mecánica Aeronáutica,KIIGA,Rusia,1992
VJH0,Maestría,Ciencia de la Ingeniería,KIIGA,Rusia,1992
LGG0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1994
LGG0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2001
LGG0,Maestría,Gestión de Activos,PMM Business School,España,2016
OGC0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1995
OGC0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2001
OGC0,Maestría,Ingeniería Electromecánica,Instituto Tecnológico de Costa Rica,Costa Rica,2003
LMS0,Técnico,Electrónica,COVAO,Costa Rica,1994
LMS0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1999
LMS0,Maestría,Ingeniería en Computación,Instituto Tecnológico de Costa Rica,Costa Rica,2004
LMS0,Especialización,Robótica Industrial,CNAD,México,2006
LMS0,Maestría,Ingeniería Electrica,Universidad de Costa Rica,Costa Rica,2016
LMS0,Doctorado,Ingeniería,Instituto Tecnológico de Costa Rica,Costa Rica,2022
SMO0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2011
SMO0,Maestría,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2017
CPS0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,1993
CPS0,Maestría,Admministración de la Ingeniería Electromecánica con énfasis en Gestión de Mantenimiento,Instituto Tecnológico de Costa Rica,Costa Rica,2011
FBG0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2005
FBG0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2008
GBG0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2002
GBG0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2003
GBG0,Maestría,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2017
GGR0,Bachillerato,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2001
GGR0,Licenciatura,Ingeniería en Mantenimiento Industrial,Instituto Tecnológico de Costa Rica,Costa Rica,2002
GGR0,Maestría,Ingeniería Eléctrica,Universidad de Costa Rica,Costa Rica,2014
GGR0,Maestría,Administración de Negocios,Universidad Estatal a Distancia,Costa Rica,2018
