codigo,codCurso,curso
JRH0,MI2205,Electricidad I
JRH0,MI2202,Laboratorio de Electricidad I 
JRH0,MI4210,Laboratorio de Control Eléctrico
JRH0,IF3502,Instrumentación I
JRH0,IF3503,Instrumentación II
LCR0,MI2101,Dibujo Técnico
LCR0,MI2106,Estática
LCR0,MI3101,Procesos de Manufactura
CVS0,MI2106,Estática
CVS0,MI2101,Dibujo Técnico
NUS0,MI2101,Dibujo Técnico
NUS0,MI3124,Dibujo Industrial
NUS0,MI3115,Resistencia de Materiales
NUS0,MI4136,Elementos de Máquinas
JGF0,MI2106,Estática
JGF0,MI2101,Dibujo Técnico
JGF0,MI2205,Electricidad I
JGF0,MI2202,Laboratorio de Electricidad I
JGF0,MI6255,Sistemas de Control Automático
JGF0,EL4419,Análisis y Control de Sistemas lineales
JGF0,IF3502,Instrumentación I
HJQ0,MI2101,Dibujo Técnico
HJQ0,MI3124,Dibujo Industrial
HJQ0,MI2106,Estática
HJQ0,MI4136,Elementos de Máquinas
COZ0,MI3103,Procesos de Manufactura
COZ0,MI2101,Dibujo Técnico
COZ0,MI3117,Dinámica
VJH0,MI3119,Laboratorio de Turbomáquinas
VJH0,MI3138,Máquinas y Equipos
VJH0,MI2101,Dibujo Técnico
VJH0,MI3124,Dibujo Industrial
VJH0,ID2301,Principios Estructurales
VJH0,MI3115,Resistencia de Materiales
GGR0,,
GRN0,,
JMJ0,,
LMS0,,
HEV0,,
AGZ0,,
FBG0,,
JGC0,,
JPS0,,
JRG0,,
LCG0,,
MBC0,,
MJC0,,
FMG0,,
GMJ0,,
IVG0,,
JAC0,,
JMH0,,
LSM0,,
LAR0,,
LMC0,,
MMC0,,
NVP0,,
OGC0,,
RMC0,,
CPS0,,
GBG0,,
LGG0,,
OMR0,,
SMO0,,
ECV0,,
SFM0,,
BMC0,,
DMH0,,
NRQ0,,
MSQ0,,
AAV0,,
ALL0,,
AAG0,,
AVH0,,
CMM0,,
DGR0,,
EMP0,,
JBC0,,
JOS0,,
LAC0,,
MJA0,,
SMG0,,
