codigo,titulo,revista,tipo,autores,año,mes,dia,doi,fuente
JRH0,Diseño de un sistema embebido para el control  y regulación del proceso dinámico de carga y descarga de celdas electroquímicas y su posterior validación para satélites CubeSat 1U.,Revista Tecnología en Marcha,journal-article,Kevin Gómez-Villagra;Juan José Rojas-Hernandez,2024,6,28,10.18845/tm.v37i3.6833,crossref_doi
JRH0,Desarrollo y prueba de un sistema para sensar de manera remota la velocidad del viento,Revista Tecnología en Marcha,journal-article,Nestor Martínez-Soto;Juan J. Rojas;Gustavo Richmond-Navarro,2022,8,1,10.18845/tm.v35i7.6331,crossref_doi
JRH0,Evolución vertical de la intensidad de turbulencia del viento en terreno complejo con obstáculos,Revista Tecnología en Marcha,journal-article,Gustavo Richmond-Navarro;Raziel Farid Sanabria-Sandí;Luis Enrique Castro-Rodríguez;Juan J. Rojas;Williams R. Calderón-Muñoz,2022,8,1,10.18845/tm.v35i7.6332,crossref_doi
JRH0,"Integración de un sistema de almacenamiento de energía en un parque eólico, estudio de caso",Revista Tecnología en Marcha,journal-article,Jorge David Araya Rodríguez;Juan J. Rojas;Gustavo Richmond-Navarro,2022,8,1,10.18845/tm.v35i7.6333,crossref_doi
JRH0,Diseño y desarrollo de una plataforma microfluídica con electrodos interdigitados para espectroscopía por impedancia eléctrica,Revista Tecnología en Marcha,journal-article,José Miguel Barboza-Retana;Cristopher Vega Sánchez;Juan J. Rojas;Steven Quiel Hidalgo;Sofía Madrigal Gamboa;Paola Vega Castillo;Renato Rimolo Donadio,2021,12,15,10.18845/tm.v35i1.5389,crossref_doi
JRH0,A Lean Satellite Electrical Power System with Direct Energy Transfer and Bus Voltage Regulation Based on a Bi-Directional Buck Converter,Aerospace,journal-article,Juan J. Rojas;Yamauchi Takashi;Mengu Cho,2020,7,5,10.3390/aerospace7070094,crossref_doi
JRH0,"Design, Implementation, and Operation of a Small Satellite Mission to Explore the Space Weather Effects in LEO",Aerospace,journal-article,Isai Fajardo;Aleksander Lidtke;Sidi Bendoukha;Jesus Gonzalez-Llorente;Rafael Rodríguez;Rigoberto Morales;Dmytro Faizullin;Misuzu Matsuoka;Naoya Urakami;Ryo Kawauchi;Masayuki Miyazaki;Naofumi Yamagata;Ken Hatanaka;Farhan Abdullah;Juan Rojas;Mohamed Keshk;Kiruki Cosmas;Tuguldur Ulambayar;Premkumar Saganti;Doug Holland;Tsvetan Dachev;Sean Tuttle;Roger Dudziak;Kei-ichi Okuyama,2019,9,27,10.3390/aerospace6100108,crossref_doi
HEV0,Identifying Near-Optimal Single-Shot Attacks on ICSs with Limited Process Knowledge,Lecture Notes in Computer Science,book-chapter,Herson Esquivel-Vargas;John Henry Castellanos;Marco Caselli;Nils Ole Tippenhauer;Andreas Peter,2022,,,10.1007/978-3-031-09234-3_9,crossref_doi
HEV0,BACGraph: Automatic Extraction of Object Relationships in the BACnet Protocol,2021 51st Annual IEEE/IFIP International Conference on Dependable Systems and Networks - Supplemental Volume (DSN-S),proceedings-article,Herson Esquivel-Vargas;Marco Caselli;Andreas Peter,2021,6,,10.1109/DSN-S52858.2021.00029,crossref_doi
HEV0,Putting Attacks in Context: A Building Automation Testbed for Impact Assessment from the Victim’s Perspective,Lecture Notes in Computer Science,book-chapter,Herson Esquivel-Vargas;Marco Caselli;Geert Jan Laanstra;Andreas Peter,2020,,,10.1007/978-3-030-52683-2_3,crossref_doi
