codigo,categoria,fecha
JRH0,Profesor Instructor,03/02/2014
JRH0,Medio Profesor Adjunto,01/17/2016
JRH0,Profesor Adjunto,25/10/2019
JRH0,Intermedio Profesor Asociado,02/11/2021
JRH0,Profesor Asociado,02/02/2022
JRH0,Intermedio Profesor Catedrático,03/03/2025
LCR0,Profesor Adjunto,01/03/2025
CVS0,Profesor Asociado,08/03/2024
NUS0,Profesor Adjunto,28/02/2022
JGF0,Profesor Adjunto,01/01/2017
HJQ0,Profesor Instructor,28/01/1998
COZ0,Profesor Adjunto,01/01/2014
VJH0,Profesor Instructor,01/01/2005
VJH0,Profesor Adjunto,01/01/2009
VJH0,Intermedio Profesor Asociado,01/01/2015
LGG0,Profesor Asociado,01/01/2025
AGZ0,Profesor Instructor,01/01/2001
AGZ0,Profesor Adjunto,01/01/2004
OGC0,Profesor Adjunto,01/01/2001
OGC0,Profesor Asociado,01/01/2010
OGC0,Profesor Catedrático,01/01/2013
OGC0,Profesor Catedrático Paso1,01/01/2018
LMS0,Profesor Adjunto,01/07/2007
LMS0,Profesor Asociado,01/07/2012
LMS0,Profesor Catedrático,01/07/2018
LMS0,Profesor Catedrático Paso1,01/09/2021
LMS0,Profesor Catedrático Paso2,01/07/2024
SMO0,Profesor Instructor,01/02/2016
CPS0,Profesor Instructor,01/07/2012
CPS0,Profesor Adjunto,05/02/2018
FBG0,Profesor Instructor,01/02/2015
FBG0,Profesor Adjunto,26/10/2018
GBG0,Profesor Instructor,01/01/2003
GBG0,Profesor Adjunto,01/07/2006
GBG0,Profesor Asociado,05/02/2014
GGR0,Profesor Instructor,30/01/2005
GGR0,Profesor Asociado,30/11/2017
GGR0,Intermedio Profesor Catedrático,30/01/2019
GGR0,Profesor Catedrático,16/02/2022
GGR0,Profesor Catedrático Paso1,16/02/2025
GRN0,Profesor Instructor,02/02/2009
GRN0,Profesor Adjunto,21/03/2013
GRN0,Intermedio Profesor Asociado,16/04/2015
GRN0,Profesor Asociado,16/10/2017
GRN0,Intermedio Profesor Catedrático,12/05/2021
GRN0,Profesor Catedrático,16/10/2023
IVG0,Profesor Adjunto,01/01/2006
IVG0,Profesor Asociado,01/01/2011
JGC0,
JMJ0,Profesor Instructor,06/02/2013
JMJ0,Profesor Adjunto,23/10/2023
JMJ0,Profesor Asociado,23/10/2O23
JAC0,
JMH0,Profesor Instructor,01/07/2013
JMH0,Profesor Adjunto,01/01/2025
JRG0,Profesor Instructor,01/02/2016
LSM0,Profesor Instructor,01/08/2016
LAR0,Profesor Asociado,01/07/2016
MMC0,Profesor Asociado,01/09/2002
NVP0,Profesor Adjunto,01/10/2015
NVP0,Intermedio Profesor Asociado,01/11/2019
OMR0,Profesor Adjunto,31/07/2014
REH0,Profesor Instructor,19/07/2004
FMG0,Profesor Instructor,01/01/2025
LCG0,Profesor Instructor,05/02/2018
MJC0,Profesor Instructor,01/01/2025
MBC0,Profesor Instructor,01/01/2017
JPS0,Profesor Instructor,01/01/2025
SMC0,Profesor Instructor,01/01/2017
GMJ0,Profesor Instructor,01/01/2025
LMC0,Profesor Instructor,01/01/2025
RMC0,Profesor Instructor,01/01/2025
