codigo,añosTEC,añosTotal,añosVirtual
JRH0,11.0,11.0,5.0
HEV0,13.0,18.0,4.0
LCR0,18.0,,
CVS0,16.0,,
NUS0,9.0,,
JGF0,16.0,,
HJQ0,27.0,,
COZ0,,,
VJH0,20.0,,
LGG0,11.0,,
AGZ0,24.0,,
OGC0,27.0,,
LMS0,23.0,,
SMO0,9.0,,
CPS0,,,
FBG0,,,
GBG0,22.0,,
GGR0,20.0,,
GRN0,16.0,,
IVG0,125.0,,
JGC0,11.0,,
JMJ0,12.0,,
JAC0,12.0,,
JMH0,12.0,,
JRG0,10.0,,
LSM0,,,
LAR0,26.0,,
MMC0,23.0,,
NVP0,13.0,,
OMR0,11.0,,
REH0,21.0,,
FMG0,9.0,,
LCG0,7.0,,
MJC0,125.0,,
MBC0,8.0,,
JPS0,16.0,,
SMC0,8.0,,
GMJ0,2.0,,
LMC0,1.0,,
RMC0,21.0,,
