codigo,titulo,revista,tipo,autores,año,mes,dia,doi
JRH0,Diseño de un sistema embebido para el control  y regulación del proceso dinámico de carga y descarga de celdas electroquímicas y su posterior validación para satélites CubeSat 1U.,Revista Tecnología en Marcha,journal-article,"Kevin Gómez-Villagra, Juan José Rojas-Hernandez",,,,10.18845/tm.v37i3.6833
JRH0,Desarrollo y prueba de un sistema para sensar de manera remota la velocidad del viento,Revista Tecnología en Marcha,journal-article,"Nestor Martínez-Soto, Juan J. Rojas, Gustavo Richmond-Navarro",,,,10.18845/tm.v35i7.6331
JRH0,Evolución vertical de la intensidad de turbulencia del viento en terreno complejo con obstáculos,Revista Tecnología en Marcha,journal-article,"Gustavo Richmond-Navarro, Raziel Farid Sanabria-Sandí, Luis Enrique Castro-Rodríguez, Juan J. Rojas, Williams R. Calderón-Muñoz",,,,10.18845/tm.v35i7.6332
JRH0,"Integración de un sistema de almacenamiento de energía en un parque eólico, estudio de caso",Revista Tecnología en Marcha,journal-article,"Jorge David Araya Rodríguez, Juan J. Rojas, Gustavo Richmond-Navarro",,,,10.18845/tm.v35i7.6333
JRH0,Presentación,Revista Tecnología en Marcha,journal-article,Juan J. Rojas,,,,10.18845/tm.v35i7.6344
JRH0,A Lean Satellite Electrical Power System with Direct Energy Transfer and Bus Voltage Regulation Based on a Bi-Directional Buck Converter,Aerospace,journal-article,"Juan J. Rojas, Yamauchi Takashi, Mengu Cho",,,,10.3390/aerospace7070094
JRH0,"Design, Implementation, and Operation of a Small Satellite Mission to Explore the Space Weather Effects in LEO",Aerospace,journal-article,"Isai Fajardo, Aleksander Lidtke, Sidi Bendoukha, Jesus Gonzalez-Llorente, Rafael Rodríguez, Rigoberto Morales, Dmytro Faizullin, Misuzu Matsuoka, Naoya Urakami, Ryo Kawauchi, Masayuki Miyazaki, Naofumi Yamagata, Ken Hatanaka, Farhan Abdullah, Juan Rojas, Mohamed Keshk, Kiruki Cosmas, Tuguldur Ulambayar, Premkumar Saganti, Doug Holland, Tsvetan Dachev, Sean Tuttle, Roger Dudziak, Kei-ichi Okuyama",,,,10.3390/aerospace6100108
JRH0,A Digitally Controlled Bi-Directional DC-DC Converter for Nanosatellite Power Systems,1st China Microsatellite Symposium,conference-paper,,2018,11,18,
JRH0,Development of a charger/discharger system for electrochemical cell screening and testing,61th Ukaren Conference,conference-paper,,2018,10,,
JRH0,Proposal for a Modular Electrical Power System for Nanosatellites,62nd Ukaren Conferece,conference-paper,,2018,10,,
JRH0,Jaguar Monitoring Store-and-Forward Satellite: JaguarSAT,42nd COSPAR Scientific Assembly,conference-paper,,2018,,,
JRH0,Proposal for a Modular Electrical Power System For Nanosatellites,37th ISAS Space Energy Symposium,conference-paper,,2018,,,
JRH0,Testing and operations of a store and forward CubeSat for environmental monitoring of Costa Rica,"Proceedings of the International Astronautical Congress, IAC",conference-paper,,2018,,,
JRH0,Project Irazú: Advances of a store &amp; forward CubeSat mission for environmental monitoring in Costa Rica,"Proceedings of the International Astronautical Congress, IAC",conference-paper,,2017,,,
JRH0,Low Cost Fabrication of a Piezoelectric Actuated Valveless Micropump,"Proceedings of the 14th LACCEI International Multi-Conference for Engineering, Education, and Technology: Engineering Innovations for
  Global Sustainability",conference-paper,,2016,,,
JRH0,Design and Simulation of a Piezoelectric Actuated Valveless Micropump,2015 COMSOL Conference Boston,conference-paper,,2015,,,
